Location,Bar,Cafe,Grocery,OtherDrink,OtherFood,Restaurant
0,6.0,0.0,1.0,0.0,0.0,4.0
2,2.0,1.0,0.0,0.0,4.0,3.0
3,0.0,2.0,6.0,0.0,1.0,1.0
4,0.0,0.0,1.0,0.0,0.0,1.0
5,0.0,1.0,0.0,0.0,0.0,0.0
6,1.0,2.0,0.0,0.0,0.0,0.0
7,2.0,0.0,0.0,0.0,0.0,0.0
8,0.0,2.0,0.0,0.0,0.0,0.0
9,3.0,1.0,1.0,0.0,1.0,5.0
10,1.0,1.0,0.0,0.0,0.0,1.0
11,1.0,0.0,0.0,0.0,2.0,2.0
12,0.0,0.0,2.0,0.0,0.0,2.0
13,4.0,2.0,0.0,0.0,3.0,12.0
14,3.0,0.0,1.0,0.0,1.0,2.0
15,0.0,1.0,0.0,0.0,0.0,1.0
16,2.0,1.0,2.0,0.0,2.0,5.0
17,1.0,1.0,1.0,0.0,0.0,2.0
18,3.0,1.0,1.0,0.0,0.0,1.0
19,3.0,6.0,1.0,0.0,3.0,4.0
20,2.0,3.0,1.0,0.0,0.0,0.0
21,1.0,0.0,1.0,0.0,0.0,1.0
22,1.0,3.0,0.0,0.0,1.0,2.0
23,0.0,1.0,0.0,0.0,0.0,0.0
24,1.0,1.0,1.0,0.0,3.0,5.0
25,1.0,3.0,1.0,0.0,4.0,6.0
26,1.0,2.0,0.0,0.0,3.0,6.0
27,3.0,2.0,1.0,0.0,1.0,3.0
28,1.0,1.0,1.0,0.0,8.0,2.0
29,0.0,0.0,0.0,0.0,2.0,2.0
30,2.0,1.0,0.0,0.0,1.0,1.0
31,3.0,1.0,0.0,0.0,1.0,3.0
32,7.0,2.0,0.0,0.0,2.0,3.0
33,1.0,4.0,0.0,0.0,2.0,3.0
35,1.0,0.0,0.0,0.0,0.0,1.0
36,2.0,4.0,2.0,0.0,7.0,19.0
37,2.0,9.0,1.0,0.0,9.0,18.0
38,2.0,3.0,0.0,0.0,0.0,3.0
39,6.0,5.0,0.0,0.0,4.0,7.0
40,2.0,6.0,0.0,1.0,6.0,15.0
41,6.0,5.0,2.0,0.0,5.0,19.0
42,5.0,6.0,2.0,0.0,3.0,6.0
43,3.0,3.0,1.0,0.0,2.0,7.0
44,3.0,1.0,0.0,0.0,0.0,0.0
45,0.0,3.0,0.0,0.0,4.0,7.0
46,1.0,1.0,3.0,0.0,0.0,3.0
47,1.0,0.0,0.0,0.0,1.0,0.0
48,1.0,1.0,0.0,0.0,0.0,0.0
49,4.0,2.0,1.0,0.0,0.0,5.0
50,2.0,10.0,0.0,0.0,1.0,15.0
51,2.0,4.0,1.0,0.0,1.0,6.0
52,0.0,0.0,0.0,0.0,0.0,2.0
53,5.0,8.0,2.0,0.0,6.0,12.0
54,3.0,7.0,0.0,0.0,6.0,7.0
55,1.0,1.0,0.0,0.0,0.0,1.0
56,6.0,4.0,3.0,0.0,4.0,5.0
57,4.0,3.0,0.0,0.0,4.0,3.0
58,3.0,0.0,1.0,0.0,1.0,2.0
59,2.0,0.0,0.0,0.0,0.0,0.0
60,7.0,4.0,0.0,1.0,2.0,10.0
61,1.0,0.0,0.0,0.0,0.0,0.0
62,0.0,3.0,0.0,0.0,2.0,0.0
63,3.0,1.0,0.0,0.0,2.0,9.0
64,6.0,4.0,0.0,0.0,1.0,10.0
65,1.0,3.0,0.0,0.0,1.0,1.0
67,4.0,5.0,0.0,0.0,1.0,1.0
68,3.0,6.0,1.0,0.0,4.0,11.0
69,11.0,9.0,0.0,1.0,12.0,13.0
70,7.0,7.0,2.0,0.0,2.0,8.0
71,9.0,7.0,1.0,0.0,6.0,14.0
72,12.0,9.0,1.0,0.0,6.0,11.0
73,7.0,2.0,0.0,0.0,3.0,4.0
77,1.0,1.0,0.0,0.0,0.0,1.0
78,2.0,4.0,0.0,0.0,0.0,14.0
79,6.0,3.0,1.0,1.0,0.0,19.0
80,4.0,3.0,0.0,0.0,5.0,18.0
81,3.0,0.0,0.0,0.0,1.0,2.0
82,8.0,4.0,0.0,0.0,4.0,15.0
83,12.0,7.0,2.0,0.0,3.0,9.0
84,8.0,6.0,1.0,0.0,5.0,19.0
85,11.0,12.0,1.0,2.0,13.0,24.0
86,8.0,5.0,1.0,0.0,5.0,16.0
87,4.0,3.0,1.0,1.0,2.0,16.0
88,6.0,7.0,1.0,0.0,3.0,10.0
89,1.0,0.0,0.0,0.0,1.0,6.0
90,4.0,4.0,1.0,0.0,5.0,18.0
91,7.0,7.0,0.0,0.0,7.0,11.0
92,3.0,4.0,1.0,1.0,1.0,15.0
93,4.0,6.0,1.0,0.0,3.0,22.0
94,11.0,8.0,0.0,0.0,12.0,23.0
95,8.0,5.0,0.0,1.0,7.0,13.0
96,2.0,2.0,0.0,0.0,0.0,2.0
97,1.0,1.0,0.0,0.0,3.0,5.0
98,8.0,5.0,0.0,0.0,5.0,17.0
99,3.0,0.0,0.0,0.0,1.0,5.0
100,2.0,0.0,0.0,0.0,0.0,2.0
101,9.0,13.0,4.0,0.0,7.0,10.0
102,7.0,8.0,2.0,0.0,2.0,24.0
103,6.0,2.0,0.0,0.0,3.0,11.0
104,3.0,3.0,0.0,0.0,10.0,18.0
105,7.0,13.0,0.0,0.0,6.0,17.0
106,8.0,9.0,1.0,0.0,6.0,14.0
107,6.0,8.0,0.0,0.0,3.0,8.0
108,11.0,3.0,1.0,0.0,6.0,12.0
109,18.0,7.0,1.0,0.0,6.0,19.0
110,6.0,7.0,1.0,0.0,7.0,15.0
111,5.0,5.0,0.0,0.0,1.0,22.0
112,7.0,3.0,2.0,1.0,9.0,23.0
113,0.0,1.0,0.0,0.0,1.0,2.0
114,0.0,1.0,1.0,0.0,1.0,2.0
115,4.0,3.0,0.0,0.0,3.0,3.0
116,4.0,6.0,1.0,0.0,7.0,13.0
117,3.0,2.0,0.0,0.0,2.0,8.0
118,1.0,6.0,2.0,0.0,3.0,4.0
119,3.0,2.0,0.0,0.0,1.0,2.0
120,9.0,7.0,1.0,0.0,5.0,13.0
121,2.0,4.0,0.0,0.0,4.0,5.0
122,6.0,1.0,0.0,0.0,1.0,7.0
123,1.0,2.0,1.0,0.0,1.0,0.0
124,6.0,5.0,0.0,1.0,6.0,8.0
125,6.0,5.0,1.0,0.0,4.0,13.0
126,1.0,1.0,0.0,0.0,0.0,1.0
127,1.0,1.0,0.0,0.0,0.0,3.0
128,0.0,2.0,1.0,0.0,0.0,0.0
129,1.0,2.0,0.0,0.0,0.0,0.0
130,5.0,6.0,2.0,0.0,7.0,19.0
131,6.0,10.0,0.0,0.0,2.0,7.0
132,5.0,8.0,2.0,0.0,7.0,9.0
133,8.0,3.0,0.0,1.0,6.0,10.0
134,10.0,3.0,2.0,0.0,5.0,10.0
135,6.0,9.0,0.0,1.0,13.0,14.0
136,15.0,12.0,2.0,0.0,5.0,11.0
137,12.0,9.0,1.0,2.0,12.0,23.0
138,2.0,4.0,0.0,0.0,5.0,6.0
139,0.0,1.0,0.0,0.0,0.0,0.0
140,0.0,2.0,0.0,0.0,0.0,0.0
141,1.0,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0,3.0
143,3.0,2.0,1.0,0.0,5.0,8.0
144,10.0,11.0,1.0,0.0,6.0,18.0
145,2.0,2.0,0.0,1.0,1.0,3.0
146,1.0,0.0,0.0,0.0,1.0,1.0
147,2.0,2.0,0.0,0.0,0.0,1.0
148,8.0,4.0,0.0,0.0,4.0,3.0
149,0.0,0.0,0.0,1.0,1.0,0.0
150,1.0,2.0,0.0,0.0,2.0,2.0
151,6.0,6.0,1.0,0.0,8.0,23.0
152,1.0,1.0,2.0,0.0,2.0,5.0
153,7.0,3.0,3.0,0.0,4.0,2.0
154,2.0,2.0,0.0,0.0,0.0,8.0
155,4.0,7.0,3.0,0.0,5.0,20.0
156,7.0,2.0,1.0,0.0,1.0,1.0
157,5.0,3.0,2.0,0.0,5.0,3.0
158,4.0,1.0,0.0,0.0,1.0,0.0
159,0.0,1.0,1.0,0.0,2.0,0.0
160,2.0,3.0,3.0,0.0,0.0,2.0
161,5.0,1.0,0.0,0.0,0.0,1.0
